Cancer_subtype,OWID_item,pearson_r
Brain and CNS cancers,Harmonized test scores among all students...6,0.647755882467557
Brain and CNS cancers,Average years of schooling...7,0.639752938562811
Brain and CNS cancers,Completion rate in lower secondary education...8,0.628318649877549
Brain and CNS cancers,Completion rate in primary education...9,0.548074073190508
Brain and CNS cancers,Completion rate in upper secondary education...10,0.671914633465938
Brain and CNS cancers,Duration of compulsory education...11,0.412430102689135
Brain and CNS cancers,Theoretical duration of pre-primary education...12,0.197309245253471
Brain and CNS cancers,Expected years of schooling...13,0.604299312451704
Brain and CNS cancers,"Average years of schooling, adjusted gender parity index...14",0.392359976197774
Brain and CNS cancers,Gross enrolment ratio in secondary education...15,0.506173160456821
Brain and CNS cancers,Gross enrolment ratio in tertiary education...16,0.646690083021816
Brain and CNS cancers,Learning-adjusted years of schooling...17,0.554433900063287
Brain and CNS cancers,"Completion rate in lower secondary education, adjusted gender parity index (GPIA)...18",0.104118174921619
Brain and CNS cancers,Combined - average years of education for 15-64 years male and female youth and adults...19,0.656722084654142
Brain and CNS cancers,"Net enrolment rates in primary education, adjusted gender parity index...20",-0.214505253795818
Brain and CNS cancers,Official entrance age to pre-primary education...21,-0.137956881252509
Brain and CNS cancers,Share of primary schools with access to drinking water...22,0.42267423372856
Brain and CNS cancers,Share of primary schools with single-sex sanitation facilities...23,0.431841212857743
Brain and CNS cancers,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Lower secondary - Both sexes...24",0.41623009987789
Brain and CNS cancers,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Pre-primary - Both sexes...25",0.258814219177061
Brain and CNS cancers,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Primary - Both sexes...26",0.340376563301812
Brain and CNS cancers,Share of total population aged 15-64 years with some formal education...27,0.487829998728431
Brain and CNS cancers,Percentage of enrolment in primary education in private institutions...28,-0.251871449290242
Brain and CNS cancers,"Completion rate in primary education, adjusted gender parity index (GPIA)...29",-0.2847319097854
Brain and CNS cancers,"Combined total net enrolment rate, primary, both sexes...30",0.367565560065333
Brain and CNS cancers,Pupil-qualified teacher ratio in primary education...32,-0.351952751580682
Brain and CNS cancers,"School life expectancy in primary education, adjusted gender parity index...33",0.0967909559847157
Brain and CNS cancers,"Net enrolment rates in lower secondary education, adjusted gender parity index...34",-0.0684013479535291
Brain and CNS cancers,Percentage of enrolment in pre-primary education in private institutions...35,-0.252309291733949
Brain and CNS cancers,"Government expenditure on education, total (% of government expenditure)...38",-0.246755499091476
Brain and CNS cancers,Combined - percentage of youth and adults aged between 15 and 64 years with no education...39,-0.48782999872843
Brain and CNS cancers,Share of secondary school teachers who are women...40,0.560736235041223
Brain and CNS cancers,Share of students from abroad...41,0.0815983613118773
Brain and CNS cancers,Share of students studying abroad...43,-0.0702280639987659
Brain and CNS cancers,Share of the population with post-secondary education or higher (25+)...44,0.402948229965288
Brain and CNS cancers,Combined - percentage of 25-64 years adults with incomplete tertiary education...45,0.611050010096757
Brain and CNS cancers,Share of the population with lower secondary education (25+)...46,0.574597823473018
Brain and CNS cancers,Out-of-school rate for children of primary school age...47,-0.373069594881033
Brain and CNS cancers,Share of total public education spending allocated to staff compensation,0.0676958585655527
Brain and CNS cancers,Public spending on education as a share of GDP (historical and recent)...49,0.219369234000922
Brain and CNS cancers,"Completion rate in upper secondary education, adjusted gender parity index (GPIA)...50",0.265607545787164
Brain and CNS cancers,Harmonized test scores among all students...51,0.643431259098202
Brain and CNS cancers,Average years of schooling...52,0.0291344825004065
Brain and CNS cancers,Completion rate in lower secondary education...53,0.404222887773282
Brain and CNS cancers,Completion rate in primary education...54,0.284197402994312
Brain and CNS cancers,Completion rate in upper secondary education...55,0.448883775342904
Brain and CNS cancers,Duration of compulsory education...56,0.0090438564813005
Brain and CNS cancers,Theoretical duration of pre-primary education...57,-0.0292439093701379
Brain and CNS cancers,Expected years of schooling...58,0.0226672524006386
Brain and CNS cancers,"Average years of schooling, adjusted gender parity index...59",-0.110713031130619
Brain and CNS cancers,Gross enrolment ratio in secondary education...60,0.259809206962829
Brain and CNS cancers,Gross enrolment ratio in tertiary education...61,0.382622327538212
Brain and CNS cancers,Learning-adjusted years of schooling...62,0.0250273969915237
Brain and CNS cancers,"Completion rate in lower secondary education, adjusted gender parity index (GPIA)...63",-0.036146325377727
Brain and CNS cancers,Combined - average years of education for 15-64 years male and female youth and adults...64,0.0013517161507544
Brain and CNS cancers,"Net enrolment rates in primary education, adjusted gender parity index...65",-0.075762565489412
Brain and CNS cancers,Official entrance age to compulsory education,-0.023392480349668
Brain and CNS cancers,Official entrance age to pre-primary education...67,-0.036290092796171
Brain and CNS cancers,Share of primary schools with access to drinking water...68,0.0938270417433829
Brain and CNS cancers,Share of primary schools with single-sex sanitation facilities...69,0.0804640033672766
Brain and CNS cancers,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Lower secondary - Both sexes...70",0.0035004200986982
Brain and CNS cancers,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Pre-primary - Both sexes...71",0.0669317325130446
Brain and CNS cancers,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Primary - Both sexes...72",0.044737491840303
Brain and CNS cancers,Share of total population aged 15-64 years with some formal education...73,0.162504737747655
Brain and CNS cancers,Percentage of enrolment in primary education in private institutions...74,-0.156940005087643
Brain and CNS cancers,"Completion rate in primary education, adjusted gender parity index (GPIA)...75",-0.0372006817034935
Brain and CNS cancers,"Combined total net enrolment rate, primary, both sexes...76",0.0245116174366171
Brain and CNS cancers,Pupil-qualified teacher ratio in primary education...78,-0.202060019535962
Brain and CNS cancers,"School life expectancy in primary education, adjusted gender parity index...79",-0.0488242438754839
Brain and CNS cancers,"Net enrolment rates in lower secondary education, adjusted gender parity index...80",-0.0731389817094447
Brain and CNS cancers,Percentage of enrolment in pre-primary education in private institutions...81,-0.210181830409001
Brain and CNS cancers,Combined - percentage of youth and adults aged between 15 and 64 years with no education...84,-0.213499781621682
Brain and CNS cancers,Share of secondary school teachers who are women...85,0.206897791291177
Brain and CNS cancers,Share of students from abroad...87,-0.0725742962919067
Brain and CNS cancers,Share of students studying abroad...88,-0.102029510756866
Brain and CNS cancers,Share of the population with post-secondary education or higher (25+)...89,0.0599176461572581
Brain and CNS cancers,Share of the population with lower secondary education (25+)...90,0.235696160067367
Brain and CNS cancers,Combined - percentage of 25-64 years adults with incomplete tertiary education...91,0.182534947000533
Brain and CNS cancers,Out-of-school rate for children of primary school age...92,-0.13085681464963
Brain and CNS cancers,Public spending on education as a share of GDP (historical and recent)...93,-0.0286921272390444
Brain and CNS cancers,"Completion rate in upper secondary education, adjusted gender parity index (GPIA)...94",-0.0350271734400381
Brain and CNS cancers,"Literacy rate, adult female (% of females ages 15 and above)",0.167706469557854
Brain and CNS cancers,"Literacy rate, adult male (% of males ages 15 and above)",0.124055794933434
Brain and CNS cancers,"Literacy rate, adult total (% of people ages 15 and above)",0.148280675610695
Brain and CNS cancers,"Literacy rate among young people (15鈥24 years), adjusted gender parity index",-0.0261879289934988
Brain and CNS cancers,Annual change in primary energy consumption (TWh)...101,-0.0921570370114329
Brain and CNS cancers,Annual change in primary energy consumption (TWh)...102,-0.0921570370114329
Brain and CNS cancers,Coal (TWh growth)...103,-0.015828027172133
Brain and CNS cancers,Fossil fuels (TWh growth)...104,0.0167482036820123
Brain and CNS cancers,Gas (TWh growth)...105,0.0762459183311672
Brain and CNS cancers,Hydro (TWh growth - equivalent)...106,-0.0635795194809307
Brain and CNS cancers,Coal (TWh growth)...107,-0.015828027172133
Brain and CNS cancers,Fossil fuels (TWh growth)...108,0.0167482036820123
Brain and CNS cancers,Gas (TWh growth)...109,0.0762459183311672
Brain and CNS cancers,Hydro (TWh growth - equivalent)...110,-0.0635795194809307
