Cancer_subtype,OWID_item,partial_r,n_pair
Brain and CNS cancers,Annual per capita consumption of books,,0
Bladder cancer,Annual per capita consumption of books,,0
Gallbladder cancer,Annual per capita consumption of books,,0
Hodgkin lymphoma,Annual per capita consumption of books,,0
Hypopharyngeal cancer,Annual per capita consumption of books,,0
Kaposi's sarcoma,Annual per capita consumption of books,,0
Kidney cancer,Annual per capita consumption of books,,0
Laryngeal cancer,Annual per capita consumption of books,,0
Leukemia,Annual per capita consumption of books,,0
Lip and oral cavity cancer,Annual per capita consumption of books,,0
Liver cancer,Annual per capita consumption of books,,0
Lung cancer,Annual per capita consumption of books,,0
Melanoma of skin,Annual per capita consumption of books,,0
Mesothelioma,Annual per capita consumption of books,,0
Multiple myeloma,Annual per capita consumption of books,,0
Nasopharyngeal cancer,Annual per capita consumption of books,,0
Non-Hodgkin lymphoma,Annual per capita consumption of books,,0
Nonmelanoma skin cancer,Annual per capita consumption of books,,0
Esophageal cancer,Annual per capita consumption of books,,0
Oropharyngeal cancer,Annual per capita consumption of books,,0
Pancreatic cancer,Annual per capita consumption of books,,0
Salivary gland cancer,Annual per capita consumption of books,,0
Stomach cancer,Annual per capita consumption of books,,0
Thyroid cancer,Annual per capita consumption of books,,0
Colon cancer,Annual per capita consumption of books,,0
Anal cancer,Annual per capita consumption of books,,0
Rectal cancer,Annual per capita consumption of books,,0
Breast cancer,Annual per capita consumption of books,,0
Cervical cancer,Annual per capita consumption of books,,0
Uterine corpus cancer,Annual per capita consumption of books,,0
Ovarian cancer,Annual per capita consumption of books,,0
Vaginal cancer,Annual per capita consumption of books,,0
Vulvar cancer,Annual per capita consumption of books,,0
Penile cancer,Annual per capita consumption of books,,0
Prostate cancer,Annual per capita consumption of books,,0
Testicular cancer,Annual per capita consumption of books,,0
Brain and CNS cancers,Book titles per capita (Fink-Jensen 2015),,0
Bladder cancer,Book titles per capita (Fink-Jensen 2015),,0
Gallbladder cancer,Book titles per capita (Fink-Jensen 2015),,0
Hodgkin lymphoma,Book titles per capita (Fink-Jensen 2015),,0
Hypopharyngeal cancer,Book titles per capita (Fink-Jensen 2015),,0
Kaposi's sarcoma,Book titles per capita (Fink-Jensen 2015),,0
Kidney cancer,Book titles per capita (Fink-Jensen 2015),,0
Laryngeal cancer,Book titles per capita (Fink-Jensen 2015),,0
Leukemia,Book titles per capita (Fink-Jensen 2015),,0
Lip and oral cavity cancer,Book titles per capita (Fink-Jensen 2015),,0
Liver cancer,Book titles per capita (Fink-Jensen 2015),,0
Lung cancer,Book titles per capita (Fink-Jensen 2015),,0
Melanoma of skin,Book titles per capita (Fink-Jensen 2015),,0
Mesothelioma,Book titles per capita (Fink-Jensen 2015),,0
Multiple myeloma,Book titles per capita (Fink-Jensen 2015),,0
Nasopharyngeal cancer,Book titles per capita (Fink-Jensen 2015),,0
Non-Hodgkin lymphoma,Book titles per capita (Fink-Jensen 2015),,0
Nonmelanoma skin cancer,Book titles per capita (Fink-Jensen 2015),,0
Esophageal cancer,Book titles per capita (Fink-Jensen 2015),,0
Oropharyngeal cancer,Book titles per capita (Fink-Jensen 2015),,0
Pancreatic cancer,Book titles per capita (Fink-Jensen 2015),,0
Salivary gland cancer,Book titles per capita (Fink-Jensen 2015),,0
Stomach cancer,Book titles per capita (Fink-Jensen 2015),,0
Thyroid cancer,Book titles per capita (Fink-Jensen 2015),,0
Colon cancer,Book titles per capita (Fink-Jensen 2015),,0
Anal cancer,Book titles per capita (Fink-Jensen 2015),,0
Rectal cancer,Book titles per capita (Fink-Jensen 2015),,0
Breast cancer,Book titles per capita (Fink-Jensen 2015),,0
Cervical cancer,Book titles per capita (Fink-Jensen 2015),,0
Uterine corpus cancer,Book titles per capita (Fink-Jensen 2015),,0
Ovarian cancer,Book titles per capita (Fink-Jensen 2015),,0
Vaginal cancer,Book titles per capita (Fink-Jensen 2015),,0
Vulvar cancer,Book titles per capita (Fink-Jensen 2015),,0
Penile cancer,Book titles per capita (Fink-Jensen 2015),,0
Prostate cancer,Book titles per capita (Fink-Jensen 2015),,0
Testicular cancer,Book titles per capita (Fink-Jensen 2015),,0
Brain and CNS cancers,Harmonized test scores among all students...6,0.530153589722972,154
Bladder cancer,Harmonized test scores among all students...6,0.375130158529498,154
Gallbladder cancer,Harmonized test scores among all students...6,0.0967493739250265,154
Hodgkin lymphoma,Harmonized test scores among all students...6,0.320487444629859,154
Hypopharyngeal cancer,Harmonized test scores among all students...6,0.349149014400863,154
Kaposi's sarcoma,Harmonized test scores among all students...6,-0.049353372148274,154
Kidney cancer,Harmonized test scores among all students...6,0.573597153504535,154
Laryngeal cancer,Harmonized test scores among all students...6,0.293604185272304,154
Leukemia,Harmonized test scores among all students...6,0.12128529286296,154
Lip and oral cavity cancer,Harmonized test scores among all students...6,0.168949605926441,154
Liver cancer,Harmonized test scores among all students...6,0.0298080671635903,154
Lung cancer,Harmonized test scores among all students...6,0.506462907394571,154
Melanoma of skin,Harmonized test scores among all students...6,0.354807856345777,154
Mesothelioma,Harmonized test scores among all students...6,0.0817172488363299,154
Multiple myeloma,Harmonized test scores among all students...6,0.402381074397759,154
Nasopharyngeal cancer,Harmonized test scores among all students...6,-0.0578835141269948,154
Non-Hodgkin lymphoma,Harmonized test scores among all students...6,0.338081350966046,154
Nonmelanoma skin cancer,Harmonized test scores among all students...6,0.190698923342188,154
Esophageal cancer,Harmonized test scores among all students...6,0.120212570857641,154
Oropharyngeal cancer,Harmonized test scores among all students...6,0.382987909898124,154
Pancreatic cancer,Harmonized test scores among all students...6,0.547736170015905,154
Salivary gland cancer,Harmonized test scores among all students...6,0.13776479447579,154
Stomach cancer,Harmonized test scores among all students...6,0.311166243805491,154
Thyroid cancer,Harmonized test scores among all students...6,0.38561227136514,154
Colon cancer,Harmonized test scores among all students...6,0.54257574209803,154
Anal cancer,Harmonized test scores among all students...6,-0.0155942383402761,154
Rectal cancer,Harmonized test scores among all students...6,0.501882666129272,154
Breast cancer,Harmonized test scores among all students...6,0.322682709609041,154
Cervical cancer,Harmonized test scores among all students...6,-0.111011025622224,154
Uterine corpus cancer,Harmonized test scores among all students...6,0.463100810910028,154
Ovarian cancer,Harmonized test scores among all students...6,0.22936415577522,154
Vaginal cancer,Harmonized test scores among all students...6,0.0078939847055864,154
Vulvar cancer,Harmonized test scores among all students...6,0.256823941386758,154
Penile cancer,Harmonized test scores among all students...6,0.11498284758918,154
Prostate cancer,Harmonized test scores among all students...6,0.273899083830601,154
Testicular cancer,Harmonized test scores among all students...6,0.442322654449225,154
Brain and CNS cancers,Average years of schooling...7,0.510683525424776,168
Bladder cancer,Average years of schooling...7,0.325269879425564,168
Gallbladder cancer,Average years of schooling...7,0.12565041174697,168
Hodgkin lymphoma,Average years of schooling...7,0.418868539789948,168
Hypopharyngeal cancer,Average years of schooling...7,0.216679905121666,168
Kaposi's sarcoma,Average years of schooling...7,-0.0843956314829846,168
Kidney cancer,Average years of schooling...7,0.495331213726091,168
Laryngeal cancer,Average years of schooling...7,0.401020427556251,168
Leukemia,Average years of schooling...7,0.117049925806188,168
Lip and oral cavity cancer,Average years of schooling...7,0.0720659465214493,168
Liver cancer,Average years of schooling...7,-0.101776345436114,168
Lung cancer,Average years of schooling...7,0.481186463766418,168
Melanoma of skin,Average years of schooling...7,0.218840735263154,168
Mesothelioma,Average years of schooling...7,0.0272429976294692,168
Multiple myeloma,Average years of schooling...7,0.377638036438072,168
Nasopharyngeal cancer,Average years of schooling...7,-0.160949313141937,168
Non-Hodgkin lymphoma,Average years of schooling...7,0.238668354992544,168
Nonmelanoma skin cancer,Average years of schooling...7,0.120422622375923,168
Esophageal cancer,Average years of schooling...7,-0.0202273281274505,168
Oropharyngeal cancer,Average years of schooling...7,0.280141934741556,168
Pancreatic cancer,Average years of schooling...7,0.533116720497345,168
Salivary gland cancer,Average years of schooling...7,-0.0155136128835049,168
Stomach cancer,Average years of schooling...7,0.25605405519231,168
Thyroid cancer,Average years of schooling...7,0.275270269915668,168
Colon cancer,Average years of schooling...7,0.470350645558746,168
Anal cancer,Average years of schooling...7,-0.0712936974650949,168
Rectal cancer,Average years of schooling...7,0.404415760457202,168
Breast cancer,Average years of schooling...7,0.375193596056921,168
Cervical cancer,Average years of schooling...7,-0.209545548150737,168
Uterine corpus cancer,Average years of schooling...7,0.575836203279775,168
Ovarian cancer,Average years of schooling...7,0.318786736396788,168
Vaginal cancer,Average years of schooling...7,0.0381131479664664,168
Vulvar cancer,Average years of schooling...7,0.158307294504297,168
Penile cancer,Average years of schooling...7,0.0850437583949137,168
Prostate cancer,Average years of schooling...7,0.264802867478794,168
Testicular cancer,Average years of schooling...7,0.392191782215147,168
Brain and CNS cancers,Completion rate in lower secondary education...8,0.459543813163155,154
Bladder cancer,Completion rate in lower secondary education...8,0.225397010774747,154
Gallbladder cancer,Completion rate in lower secondary education...8,0.231423314064495,154
Hodgkin lymphoma,Completion rate in lower secondary education...8,0.271113353373703,154
Hypopharyngeal cancer,Completion rate in lower secondary education...8,0.210369000525461,154
Kaposi's sarcoma,Completion rate in lower secondary education...8,-0.280304446058096,154
Kidney cancer,Completion rate in lower secondary education...8,0.356109636353509,154
Laryngeal cancer,Completion rate in lower secondary education...8,0.394489030838214,154
Leukemia,Completion rate in lower secondary education...8,0.168035896753089,154
Lip and oral cavity cancer,Completion rate in lower secondary education...8,0.0120326662807709,154
Liver cancer,Completion rate in lower secondary education...8,0.0025519929019889,154
Lung cancer,Completion rate in lower secondary education...8,0.498248614513177,154
