"correlation_matrix_column","mapped_topic"
"Harmonized test scores among all students...6","Education and Knowledge"
"Average years of schooling...7","Education and Knowledge"
"Completion rate in lower secondary education...8","Education and Knowledge"
"Completion rate in primary education...9","Education and Knowledge"
"Completion rate in upper secondary education...10","Education and Knowledge"
"Duration of compulsory education...11","Education and Knowledge"
"Theoretical duration of pre-primary education...12","Education and Knowledge"
"Expected years of schooling...13","Education and Knowledge"
"Average years of schooling, adjusted gender parity index...14","Education and Knowledge"
"Gross enrolment ratio in secondary education...15","Education and Knowledge"
"Gross enrolment ratio in tertiary education...16","Education and Knowledge"
"Learning-adjusted years of schooling...17","Education and Knowledge"
"Completion rate in lower secondary education, adjusted gender parity index (GPIA)...18","Education and Knowledge"
"Combined - average years of education for 15-64 years male and female youth and adults...19","Education and Knowledge"
"Net enrolment rates in primary education, adjusted gender parity index...20","Education and Knowledge"
"Official entrance age to pre-primary education...21","Education and Knowledge"
"Share of primary schools with access to drinking water...22","Education and Knowledge"
"Share of primary schools with single-sex sanitation facilities...23","Education and Knowledge"
"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Lower secondary - Both sexes...24","Education and Knowledge"
"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Pre-primary - Both sexes...25","Education and Knowledge"
"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Primary - Both sexes...26","Education and Knowledge"
"Share of total population aged 15-64 years with some formal education...27","Education and Knowledge"
"Percentage of enrolment in primary education in private institutions...28","Education and Knowledge"
"Completion rate in primary education, adjusted gender parity index (GPIA)...29","Education and Knowledge"
"Combined total net enrolment rate, primary, both sexes...30","Education and Knowledge"
"Pupil-qualified teacher ratio in primary education...32","Education and Knowledge"
"School life expectancy in primary education, adjusted gender parity index...33","Education and Knowledge"
"Net enrolment rates in lower secondary education, adjusted gender parity index...34","Education and Knowledge"
"Percentage of enrolment in pre-primary education in private institutions...35","Education and Knowledge"
"Government expenditure on education, total (% of government expenditure)...38","Education and Knowledge"
"Combined - percentage of youth and adults aged between 15 and 64 years with no education...39","Education and Knowledge"
"Share of secondary school teachers who are women...40","Education and Knowledge"
"Share of students from abroad...41","Education and Knowledge"
"Share of students studying abroad...43","Education and Knowledge"
"Share of the population with post-secondary education or higher (25+)...44","Education and Knowledge"
"Combined - percentage of 25-64 years adults with incomplete tertiary education...45","Education and Knowledge"
"Share of the population with lower secondary education (25+)...46","Education and Knowledge"
"Out-of-school rate for children of primary school age...47","Education and Knowledge"
"Share of total public education spending allocated to staff compensation","Education and Knowledge"
"Public spending on education as a share of GDP (historical and recent)...49","Education and Knowledge"
"Completion rate in upper secondary education, adjusted gender parity index (GPIA)...50","Education and Knowledge"
"Harmonized test scores among all students...51","Education and Knowledge"
"Average years of schooling...52","Education and Knowledge"
"Completion rate in lower secondary education...53","Education and Knowledge"
"Completion rate in primary education...54","Education and Knowledge"
"Completion rate in upper secondary education...55","Education and Knowledge"
"Duration of compulsory education...56","Education and Knowledge"
"Theoretical duration of pre-primary education...57","Education and Knowledge"
"Expected years of schooling...58","Education and Knowledge"
"Average years of schooling, adjusted gender parity index...59","Education and Knowledge"
"Gross enrolment ratio in secondary education...60","Education and Knowledge"
"Gross enrolment ratio in tertiary education...61","Education and Knowledge"
"Learning-adjusted years of schooling...62","Education and Knowledge"
"Completion rate in lower secondary education, adjusted gender parity index (GPIA)...63","Education and Knowledge"
"Combined - average years of education for 15-64 years male and female youth and adults...64","Education and Knowledge"
"Net enrolment rates in primary education, adjusted gender parity index...65","Education and Knowledge"
"Official entrance age to compulsory education","Education and Knowledge"
"Official entrance age to pre-primary education...67","Education and Knowledge"
"Share of primary schools with access to drinking water...68","Education and Knowledge"
"Share of primary schools with single-sex sanitation facilities...69","Education and Knowledge"
"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Lower secondary - Both sexes...70","Education and Knowledge"
"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Pre-primary - Both sexes...71","Education and Knowledge"
"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Primary - Both sexes...72","Education and Knowledge"
"Share of total population aged 15-64 years with some formal education...73","Education and Knowledge"
"Percentage of enrolment in primary education in private institutions...74","Education and Knowledge"
"Completion rate in primary education, adjusted gender parity index (GPIA)...75","Education and Knowledge"
"Combined total net enrolment rate, primary, both sexes...76","Education and Knowledge"
"Pupil-qualified teacher ratio in primary education...78","Education and Knowledge"
"School life expectancy in primary education, adjusted gender parity index...79","Education and Knowledge"
"Net enrolment rates in lower secondary education, adjusted gender parity index...80","Education and Knowledge"
"Percentage of enrolment in pre-primary education in private institutions...81","Education and Knowledge"
"Combined - percentage of youth and adults aged between 15 and 64 years with no education...84","Education and Knowledge"
"Share of secondary school teachers who are women...85","Education and Knowledge"
"Share of students from abroad...87","Education and Knowledge"
"Share of students studying abroad...88","Education and Knowledge"
"Share of the population with post-secondary education or higher (25+)...89","Education and Knowledge"
"Share of the population with lower secondary education (25+)...90","Education and Knowledge"
"Combined - percentage of 25-64 years adults with incomplete tertiary education...91","Education and Knowledge"
"Out-of-school rate for children of primary school age...92","Education and Knowledge"
"Public spending on education as a share of GDP (historical and recent)...93","Education and Knowledge"
"Completion rate in upper secondary education, adjusted gender parity index (GPIA)...94","Education and Knowledge"
"Literacy rate, adult female (% of females ages 15 and above)","Education and Knowledge"
"Literacy rate, adult male (% of males ages 15 and above)","Education and Knowledge"
"Literacy rate, adult total (% of people ages 15 and above)","Education and Knowledge"
"Literacy rate among young people (15鈥24 years), adjusted gender parity index","Education and Knowledge"
"Annual change in primary energy consumption (TWh)...101","Energy and Environment"
"Annual change in primary energy consumption (TWh)...102","Energy and Environment"
